Label (Grouping),United States!!Estimate,United States!!Margin of Error,United States!!Percent,United States!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,"Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bartow County, Georgia!!Percent","Bartow County, Georgia!!Percent Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bibb County, Georgia!!Percent","Bibb County, Georgia!!Percent Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Bulloch County, Georgia!!Percent","Bulloch County, Georgia!!Percent Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Carroll County, Georgia!!Percent","Carroll County, Georgia!!Percent Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Catoosa County, Georgia!!Percent","Catoosa County, Georgia!!Percent Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Chatham County, Georgia!!Percent","Chatham County, Georgia!!Percent Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Cherokee County, Georgia!!Percent","Cherokee County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Clayton County, Georgia!!Percent","Clayton County, Georgia!!Percent Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Cobb County, Georgia!!Percent","Cobb County, Georgia!!Percent Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Columbia County, Georgia!!Percent","Columbia County, Georgia!!Percent Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","Coweta County, Georgia!!Percent","Coweta County, Georgia!!Percent Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","DeKalb County, Georgia!!Percent","DeKalb County, Georgia!!Percent Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Dougherty County, Georgia!!Percent","Dougherty County, Georgia!!Percent Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Douglas County, Georgia!!Percent","Douglas County, Georgia!!Percent Margin of Error","Effingham County, Georgia!!Estimate","Effingham County, Georgia!!Margin of Error","Effingham County, Georgia!!Percent","Effingham County, Georgia!!Percent Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Fayette County, Georgia!!Percent","Fayette County, Georgia!!Percent Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Floyd County, Georgia!!Percent","Floyd County, Georgia!!Percent Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Forsyth County, Georgia!!Percent","Forsyth County, Georgia!!Percent Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Fulton County, Georgia!!Percent","Fulton County, Georgia!!Percent Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Glynn County, Georgia!!Percent","Glynn County, Georgia!!Percent Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Percent","Gwinnett County, Georgia!!Percent Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Hall County, Georgia!!Percent","Hall County, Georgia!!Percent Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Henry County, Georgia!!Percent","Henry County, Georgia!!Percent Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Houston County, Georgia!!Percent","Houston County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Liberty County, Georgia!!Estimate","Liberty County, Georgia!!Margin of Error","Liberty County, Georgia!!Percent","Liberty County, Georgia!!Percent Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Lowndes County, Georgia!!Percent","Lowndes County, Georgia!!Percent Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Muscogee County, Georgia!!Percent","Muscogee County, Georgia!!Percent Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Newton County, Georgia!!Percent","Newton County, Georgia!!Percent Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Paulding County, Georgia!!Percent","Paulding County, Georgia!!Percent Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Richmond County, Georgia!!Percent","Richmond County, Georgia!!Percent Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Rockdale County, Georgia!!Percent","Rockdale County, Georgia!!Percent Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Spalding County, Georgia!!Percent","Spalding County, Georgia!!Percent Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Troup County, Georgia!!Percent","Troup County, Georgia!!Percent Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walker County, Georgia!!Percent","Walker County, Georgia!!Percent Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Walton County, Georgia!!Percent","Walton County, Georgia!!Percent Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","Whitfield County, Georgia!!Percent","Whitfield County, Georgia!!Percent Margin of Error"
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"340,110,990",*****,"340,110,990",(X),"11,180,878",*****,"11,180,878",(X),"96,294",*****,"96,294",(X),"117,508",*****,"117,508",(X),"157,056",*****,"157,056",(X),"85,454",*****,"85,454",(X),"129,911",*****,"129,911",(X),"68,940",*****,"68,940",(X),"307,336",*****,"307,336",(X),"293,513",*****,"293,513",(X),"129,995",*****,"129,995",(X),"297,703",*****,"297,703",(X),"787,538",*****,"787,538",(X),"167,472",*****,"167,472",(X),"158,233",*****,"158,233",(X),"770,307",*****,"770,307",(X),"82,418",*****,"82,418",(X),"151,887",*****,"151,887",(X),"73,148",*****,"73,148",(X),"125,107",*****,"125,107",(X),"101,390",*****,"101,390",(X),"280,096",*****,"280,096",(X),"1,090,354",*****,"1,090,354",(X),"86,540",*****,"86,540",(X),"1,003,869",*****,"1,003,869",(X),"221,745",*****,"221,745",(X),"259,315",*****,"259,315",(X),"174,897",*****,"174,897",(X),"93,825",*****,"93,825",(X),"68,607",*****,"68,607",(X),"122,082",*****,"122,082",(X),"201,830",*****,"201,830",(X),"124,010",*****,"124,010",(X),"188,549",*****,"188,549",(X),"206,303",*****,"206,303",(X),"97,610",*****,"97,610",(X),"70,292",*****,"70,292",(X),"71,513",*****,"71,513",(X),"69,340",*****,"69,340",(X),"109,792",*****,"109,792",(X),"105,070",*****,"105,070",(X)
        Male,"168,294,343","±32,107",49.5%,±0.1,"5,441,586","±9,788",48.7%,±0.1,"47,186",±839,49.0%,±0.9,"57,731",±981,49.1%,±0.8,"73,510","±1,817",46.8%,±1.2,"41,206",±914,48.2%,±1.1,"63,368",±705,48.8%,±0.5,"33,157",±581,48.1%,±0.8,"145,711",±683,47.4%,±0.2,"146,014","±1,082",49.7%,±0.4,"61,871","±1,845",47.6%,±1.4,"138,995","±1,459",46.7%,±0.5,"384,431",±91,48.8%,±0.1,"82,441","±1,115",49.2%,±0.7,"76,742","±1,678",48.5%,±1.1,"365,288",±478,47.4%,±0.1,"38,261",±721,46.4%,±0.9,"72,807",±977,47.9%,±0.6,"37,036",±892,50.6%,±1.2,"60,810",±757,48.6%,±0.6,"48,715","±1,381",48.0%,±1.4,"138,680","±1,290",49.5%,±0.5,"528,582",±200,48.5%,±0.1,"40,759","±1,650",47.1%,±1.9,"492,904",±221,49.1%,±0.1,"110,614","±1,234",49.9%,±0.6,"122,581",±673,47.3%,±0.3,"84,783","±1,128",48.5%,±0.6,"45,982",±823,49.0%,±0.9,"34,629","±1,275",50.5%,±1.9,"58,560",±911,48.0%,±0.7,"95,926",±718,47.5%,±0.4,"58,779","±1,148",47.4%,±0.9,"92,155",±920,48.9%,±0.5,"100,028",±802,48.5%,±0.4,"45,037",±998,46.1%,±1.0,"34,122","±1,128",48.5%,±1.6,"34,203","±2,365",47.8%,±3.3,"33,425",±696,48.2%,±1.0,"53,801","±1,267",49.0%,±1.2,"53,844",±680,51.2%,±0.6
        Female,"171,816,647","±32,107",50.5%,±0.1,"5,739,292","±9,788",51.3%,±0.1,"49,108",±839,51.0%,±0.9,"59,777",±981,50.9%,±0.8,"83,546","±1,817",53.2%,±1.2,"44,248",±914,51.8%,±1.1,"66,543",±705,51.2%,±0.5,"35,783",±581,51.9%,±0.8,"161,625",±683,52.6%,±0.2,"147,499","±1,082",50.3%,±0.4,"68,124","±1,845",52.4%,±1.4,"158,708","±1,459",53.3%,±0.5,"403,107",±91,51.2%,±0.1,"85,031","±1,115",50.8%,±0.7,"81,491","±1,678",51.5%,±1.1,"405,019",±478,52.6%,±0.1,"44,157",±721,53.6%,±0.9,"79,080",±977,52.1%,±0.6,"36,112",±892,49.4%,±1.2,"64,297",±757,51.4%,±0.6,"52,675","±1,381",52.0%,±1.4,"141,416","±1,290",50.5%,±0.5,"561,772",±200,51.5%,±0.1,"45,781","±1,650",52.9%,±1.9,"510,965",±221,50.9%,±0.1,"111,131","±1,234",50.1%,±0.6,"136,734",±673,52.7%,±0.3,"90,114","±1,128",51.5%,±0.6,"47,843",±823,51.0%,±0.9,"33,978","±1,275",49.5%,±1.9,"63,522",±911,52.0%,±0.7,"105,904",±718,52.5%,±0.4,"65,231","±1,148",52.6%,±0.9,"96,394",±920,51.1%,±0.5,"106,275",±802,51.5%,±0.4,"52,573",±998,53.9%,±1.0,"36,170","±1,128",51.5%,±1.6,"37,310","±2,365",52.2%,±3.3,"35,915",±696,51.8%,±1.0,"55,991","±1,267",51.0%,±1.2,"51,226",±680,48.8%,±0.6
        Sex ratio (males per 100 females),97.9,±0.1,(X),(X),94.8,±0.3,(X),(X),96.1,±3.4,(X),(X),96.6,±3.2,(X),(X),88.0,±4.1,(X),(X),93.1,±4.0,(X),(X),95.2,±2.1,(X),(X),92.7,±3.1,(X),(X),90.2,±0.8,(X),(X),99.0,±1.5,(X),(X),90.8,±5.2,(X),(X),87.6,±1.7,(X),(X),95.4,±0.1,(X),(X),97.0,±2.6,(X),(X),94.2,±4.0,(X),(X),90.2,±0.2,(X),(X),86.6,±3.0,(X),(X),92.1,±2.4,(X),(X),102.6,±5.0,(X),(X),94.6,±2.3,(X),(X),92.5,±5.0,(X),(X),98.1,±1.8,(X),(X),94.1,±0.1,(X),(X),89.0,±6.8,(X),(X),96.5,±0.1,(X),(X),99.5,±2.2,(X),(X),89.6,±0.9,(X),(X),94.1,±2.4,(X),(X),96.1,±3.4,(X),(X),101.9,±7.5,(X),(X),92.2,±2.8,(X),(X),90.6,±1.3,(X),(X),90.1,±3.3,(X),(X),95.6,±1.9,(X),(X),94.1,±1.5,(X),(X),85.7,±3.5,(X),(X),94.3,±6.0,(X),(X),91.7,±12.2,(X),(X),93.1,±3.8,(X),(X),96.1,±4.4,(X),(X),105.1,±2.7,(X),(X)
        Under 5 years,"18,365,047","±18,704",5.4%,±0.1,"612,543","±5,147",5.5%,±0.1,"6,283",±415,6.5%,±0.4,"6,775",±331,5.8%,±0.3,"9,639",±539,6.1%,±0.3,"3,148",±788,3.7%,±0.9,"6,429",±567,4.9%,±0.4,"2,896",±276,4.2%,±0.4,"17,691",±476,5.8%,±0.2,"14,847",±787,5.1%,±0.3,"5,118",±480,3.9%,±0.4,"17,318",±552,5.8%,±0.2,"43,589",±110,5.5%,±0.1,"9,268",±264,5.5%,±0.2,"9,005","±1,391",5.7%,±0.9,"48,053",±102,6.2%,±0.1,"5,216",±349,6.3%,±0.4,"7,333",±914,4.8%,±0.6,"4,005",±639,5.5%,±0.9,"4,034",±720,3.2%,±0.6,"4,999",±745,4.9%,±0.7,"14,229",±419,5.1%,±0.1,"57,547",±3,5.3%,±0.1,"4,281",±957,4.9%,±1.1,"59,006",±120,5.9%,±0.1,"13,248",±215,6.0%,±0.1,"15,249",±319,5.9%,±0.1,"10,094",±481,5.8%,±0.3,"5,441",±312,5.8%,±0.3,"6,390",±583,9.3%,±0.8,"7,355",±470,6.0%,±0.4,"13,126",±498,6.5%,±0.2,"7,276",±693,5.9%,±0.6,"10,473",±727,5.6%,±0.4,"12,554",±717,6.1%,±0.3,"5,378",±692,5.5%,±0.7,"3,913","±1,011",5.6%,±1.4,"4,336",±305,6.1%,±0.4,"3,788",±486,5.5%,±0.7,"5,565",±910,5.1%,±0.8,"6,100",±330,5.8%,±0.3
        5 to 9 years,"19,806,742","±65,396",5.8%,±0.1,"685,711","±13,984",6.1%,±0.1,"6,080","±1,078",6.3%,±1.1,"6,959","±1,070",5.9%,±0.9,"10,928","±1,583",7.0%,±1.0,"4,907","±1,497",5.7%,±1.8,"10,102","±1,197",7.8%,±0.9,"4,305",±982,6.2%,±1.4,"16,789","±2,051",5.5%,±0.7,"14,841","±1,950",5.1%,±0.7,"5,704","±1,360",4.4%,±1.0,"21,107","±3,428",7.1%,±1.2,"50,511","±3,067",6.4%,±0.4,"10,353","±1,785",6.2%,±1.1,"8,771","±1,728",5.5%,±1.1,"47,376","±3,333",6.2%,±0.4,"6,183","±1,384",7.5%,±1.7,"10,219","±1,629",6.7%,±1.1,"6,436","±1,159",8.8%,±1.6,"7,224","±1,233",5.8%,±1.0,"6,095","±1,596",6.0%,±1.6,"18,324","±1,691",6.5%,±0.6,"56,556","±3,831",5.2%,±0.4,"3,638",±880,4.2%,±1.0,"66,003","±4,345",6.6%,±0.4,"13,797","±1,891",6.2%,±0.9,"16,192","±2,005",6.2%,±0.8,"13,416","±1,559",7.7%,±0.9,"6,364","±1,000",6.8%,±1.1,"5,258","±1,265",7.7%,±1.8,"7,499","±1,550",6.1%,±1.3,"13,595","±2,044",6.7%,±1.0,"8,537","±1,682",6.9%,±1.4,"12,488","±1,521",6.6%,±0.8,"13,020","±1,551",6.3%,±0.8,"5,589","±1,667",5.7%,±1.7,"5,076","±1,016",7.2%,±1.4,"5,310","±1,239",7.4%,±1.7,"3,457",±788,5.0%,±1.1,"6,565","±1,264",6.0%,±1.2,"6,631","±1,286",6.3%,±1.2
        10 to 14 years,"21,346,363","±65,976",6.3%,±0.1,"756,146","±13,644",6.8%,±0.1,"7,576","±1,050",7.9%,±1.1,"7,708","±1,112",6.6%,±0.9,"10,571","±1,678",6.7%,±1.1,"4,862","±1,349",5.7%,±1.6,"8,309","±1,306",6.4%,±1.0,"3,915",±923,5.7%,±1.3,"16,331","±2,037",5.3%,±0.7,"21,553","±2,030",7.3%,±0.7,"6,578","±1,406",5.1%,±1.1,"22,783","±3,504",7.7%,±1.2,"45,447","±3,092",5.8%,±0.4,"12,976","±1,742",7.7%,±1.0,"10,849","±1,540",6.9%,±1.0,"46,267","±3,328",6.0%,±0.4,"4,428","±1,278",5.4%,±1.6,"11,287","±1,595",7.4%,±1.0,"5,384","±1,096",7.4%,±1.5,"10,038","±1,060",8.0%,±0.8,"7,409","±1,280",7.3%,±1.3,"22,929","±1,672",8.2%,±0.6,"66,754","±3,844",6.1%,±0.4,"4,891","±1,178",5.7%,±1.4,"77,858","±4,360",7.8%,±0.4,"14,283","±1,838",6.4%,±0.8,"19,274","±2,055",7.4%,±0.8,"12,479","±1,615",7.1%,±0.9,"7,263",±904,7.7%,±1.0,"5,363","±1,358",7.8%,±2.0,"9,393","±1,476",7.7%,±1.2,"14,696","±2,086",7.3%,±1.0,"9,413","±1,607",7.6%,±1.3,"14,305","±1,703",7.6%,±0.9,"13,350","±1,486",6.5%,±0.7,"7,053","±1,666",7.2%,±1.7,"4,309","±1,313",6.1%,±1.9,"5,171","±1,496",7.2%,±2.1,"3,849",±742,5.6%,±1.1,"8,432","±1,154",7.7%,±1.1,"7,540","±1,242",7.2%,±1.2
        15 to 19 years,"22,449,564","±41,128",6.6%,±0.1,"784,334","±9,568",7.0%,±0.1,"5,931",±640,6.2%,±0.7,"7,249",±808,6.2%,±0.7,"13,581","±1,802",8.6%,±1.1,"8,510","±1,682",10.0%,±2.0,"10,903","±1,172",8.4%,±0.9,"4,580",±835,6.6%,±1.2,"20,937","±1,019",6.8%,±0.3,"19,095","±1,169",6.5%,±0.4,"13,791","±1,525",10.6%,±1.2,"22,641","±1,986",7.6%,±0.7,"53,646",±715,6.8%,±0.1,"11,460","±1,255",6.8%,±0.7,"10,902",±995,6.9%,±0.6,"47,066",±955,6.1%,±0.1,"6,454",±930,7.8%,±1.1,"11,786","±1,673",7.8%,±1.1,"4,882",±933,6.7%,±1.3,"9,993",±852,8.0%,±0.7,"7,836","±1,242",7.7%,±1.2,"21,008","±1,469",7.5%,±0.5,"73,718","±1,297",6.8%,±0.1,"5,979","±1,195",6.9%,±1.4,"77,425",±74,7.7%,±0.1,"14,279",±908,6.4%,±0.4,"19,180","±1,512",7.4%,±0.6,"11,712","±1,597",6.7%,±0.9,"6,914","±1,174",7.4%,±1.3,"3,889","±1,338",5.7%,±1.9,"8,489",±981,7.0%,±0.8,"12,861","±1,081",6.4%,±0.5,"10,898","±1,480",8.8%,±1.2,"13,689",±851,7.3%,±0.5,"14,428","±1,106",7.0%,±0.5,"7,006","±1,454",7.2%,±1.5,"5,576","±1,068",7.9%,±1.5,"4,204","±1,554",5.9%,±2.2,"3,648",±605,5.3%,±0.9,"7,915","±1,423",7.2%,±1.3,"7,131",±835,6.8%,±0.8
        20 to 24 years,"22,232,555","±38,762",6.5%,±0.1,"753,379","±11,413",6.7%,±0.1,"5,445","±1,166",5.7%,±1.2,"6,312",±646,5.4%,±0.5,"8,391","±1,703",5.3%,±1.1,"14,098","±1,919",16.5%,±2.2,"10,969","±1,413",8.4%,±1.1,"3,810",±579,5.5%,±0.8,"23,639","±1,074",7.7%,±0.3,"19,187","±1,248",6.5%,±0.4,"24,158","±1,584",18.6%,±1.2,"20,876","±1,711",7.0%,±0.6,"52,167",±699,6.6%,±0.1,"10,364","±1,454",6.2%,±0.9,"9,508","±1,127",6.0%,±0.7,"48,279",±935,6.3%,±0.1,"5,645","±1,122",6.8%,±1.4,"10,961","±1,421",7.2%,±0.9,"3,746",±799,5.1%,±1.1,"5,860","±1,425",4.7%,±1.1,"7,972","±1,177",7.9%,±1.2,"14,164","±1,327",5.1%,±0.5,"72,834","±1,292",6.7%,±0.1,"3,902",±965,4.5%,±1.1,"68,317",±208,6.8%,±0.1,"16,095","±1,090",7.3%,±0.5,"17,550","±1,599",6.8%,±0.6,"11,205","±1,350",6.4%,±0.8,"4,861","±1,402",5.2%,±1.5,"6,990","±1,499",10.2%,±2.2,"15,517","±1,747",12.7%,±1.4,"13,143","±1,373",6.5%,±0.7,"7,042","±1,329",5.7%,±1.1,"13,159","±1,389",7.0%,±0.7,"15,727",±872,7.6%,±0.4,"6,000","±1,467",6.1%,±1.5,"2,529",±652,3.6%,±0.9,"4,530","±1,191",6.3%,±1.7,"4,087",±857,5.9%,±1.2,"7,668","±1,560",7.0%,±1.4,"8,516","±1,026",8.1%,±1.0
