year,population_pred,upper,lower
2025,1095180.5802075327,1100929.9817834496,1089431.1786316158
2026,1099515.0021690654,1105264.4037449823,1093765.6005931485
2027,1103407.4504311485,1109156.8520070654,1097658.0488552316
2028,1106902.992306734,1112652.3938826509,1101153.590730817
2029,1110042.0996708565,1115791.5012467734,1104292.6980949396
2030,1112861.1175496904,1118610.5191256073,1107111.7159737735
2031,1115392.6849283702,1121142.086504287,1109643.2833524533
2032,1117666.112649746,1123415.514225663,1111916.711073829
2033,1119707.7227794419,1125457.1243553588,1113958.321203525
2034,1121541.1533664297,1127290.5549423466,1115791.7517905128
