year,population_pred,county
2025,18734.072904072345,Appling County
2026,18813.651818597325,Appling County
2027,18926.270014305428,Appling County
2028,19001.359357693866,Appling County
2029,19089.27553615406,Appling County
2030,19183.443825247716,Appling County
2031,19262.222213475037,Appling County
2032,19347.24066664342,Appling County
2033,19430.879375739805,Appling County
2034,19507.83584191651,Appling County
2025,8549.483609038389,Atkinson County
2026,8647.840076171702,Atkinson County
2027,8750.39609062554,Atkinson County
2028,8844.923201201706,Atkinson County
2029,8936.723188798693,Atkinson County
2030,9022.350653147729,Atkinson County
2031,9103.183602937701,Atkinson County
2032,9178.35950427256,Atkinson County
2033,9248.399559705738,Atkinson County
2034,9313.293525751025,Atkinson County
2025,11031.7192527545,Bacon County
2026,10996.930522101797,Bacon County
2027,10943.202937884173,Bacon County
2028,10906.646227749363,Bacon County
2029,10866.853704012134,Bacon County
2030,10821.250853388017,Bacon County
2031,10778.394932739411,Bacon County
2032,10734.385560548015,Bacon County
2033,10687.85863922361,Bacon County
2034,10640.61401064237,Bacon County
2025,2719.6140098072474,Baker County
2026,2700.202502252996,Baker County
2027,2681.6919704527972,Baker County
2028,2667.635678342016,Baker County
2029,2655.526505219809,Baker County
2030,2644.6736092658793,Baker County
2031,2636.192409594196,Baker County
2032,2630.5471354703145,Baker County
2033,2627.7257492405606,Baker County
2034,2627.9957395068745,Baker County
2025,43688.13815850321,Baldwin County
2026,43818.36821652082,Baldwin County
2027,43903.539993502236,Baldwin County
2028,44001.62076911824,Baldwin County
2029,44081.161296605824,Baldwin County
2030,44153.22696078664,Baldwin County
2031,44208.90503019475,Baldwin County
2032,44248.97548989219,Baldwin County
2033,44269.89444504783,Baldwin County
2034,44270.46093334478,Baldwin County
2025,20957.92897317199,Banks County
2026,21573.566037563796,Banks County
2027,22079.549816523355,Banks County
2028,22585.423189756068,Banks County
2029,23117.753926516933,Banks County
2030,23615.52630472874,Banks County
2031,24071.620188282563,Banks County
2032,24519.899999521032,Banks County
2033,24964.046789602697,Banks County
2034,25390.809078998554,Banks County
2025,99575.03900368609,Barrow County
2026,103119.17077951535,Barrow County
2027,106985.62828691943,Barrow County
2028,111198.7808316019,Barrow County
2029,115795.31792543961,Barrow County
2030,120816.97777810517,Barrow County
2031,126304.04283762767,Barrow County
